FULL NAME,MPG,USG%,FT%,3P%,eFG%,PPG,RPG,APG,SPG,BPG,TO,VI,ORTG,DRTG
Robert Williams III,9.1,10.3,0.6,0,0.706,2.6,2.6,0.2,0.29,1.29,0.32,4.9,133.5,96.7
Bruce Brown,19.6,11.5,0.75,0.258,0.435,4.3,2.5,1.2,0.54,0.49,0.62,4.8,100.7,100.4
Seth Curry,18.9,16.6,0.846,0.45,0.577,7.9,1.6,0.9,0.47,0.16,0.82,4.8,113.3,108.7
Doug McDermott,17.4,16.3,0.835,0.408,0.589,7.3,1.4,0.9,0.23,0.1,0.55,4.8,117,105.8
Svi Mykhailiuk,10.8,15.8,0.6,0.318,0.439,3.3,0.8,0.8,0.33,0.03,0.51,4.8,91.9,109.8
Mike Scott,24,13.8,0.667,0.412,0.529,7.8,3.8,0.8,0.33,0.19,0.63,4.8,106.7,103.7
C.J. Williams,8.5,13.3,0,0.313,0.557,2.6,0.5,0.8,0.4,0,0.33,4.8,107.1,104.9
OG Anunoby,20.2,15.5,0.581,0.332,0.536,7,2.9,0.7,0.69,0.33,0.82,4.8,104.7,101.3
Grayson Allen,11,24.4,0.75,0.323,0.466,5.6,0.6,0.7,0.13,0.16,0.87,4.8,94.8,100.8
Keita Bates-Diop,16.8,14.1,0.643,0.25,0.468,5,2.8,0.6,0.6,0.47,0.47,4.8,100.7,110.4
Yuta Watanabe,11.6,15.7,0.7,0.125,0.314,2.6,2.1,0.5,0.27,0.07,0.4,4.8,76.1,106.5
Jaron Blossomgame,16.3,12.3,0.769,0.256,0.486,4.2,3.6,0.5,0.26,0.3,0.41,4.8,107.8,115.3
