Player,PER,TS%,TRB%,USG%,OWS,DWS,WS,OBPM,DBPM,BPM,VORP
Talen Horton-Tucker,11,0.503,6.9,19.2,-0.2,1.2,1.1,-3.2,-0.2,-3.3,-0.5
Danuel House Jr.,10.6,0.555,8.4,15.2,0.4,0.7,1,-1.3,0.2,-1.1,0.2
Dwight Howard,18.2,0.657,19.7,14.6,2.2,1.3,3.5,-0.2,0,-0.2,0.4
Markus Howard,16.1,0.567,3.8,29.4,0.1,0.2,0.3,0.8,-2,-1.2,0
Kevin Huerter,11.9,0.57,6.4,17.5,1.8,1,2.8,-0.5,-0.7,-1.2,0.4
Jay Huff,0.6,0,10.8,8.6,-0.1,0,0,-8.3,0.9,-7.4,0
Elijah Hughes,5.4,0.426,7.3,16.5,-0.6,0.3,-0.4,-5.2,-1.7,-6.9,-0.5
Feron Hunt,-3,0,6.7,16.4,-0.1,0,0,-12.3,1,-11.3,0
De'Andre Hunter,10.6,0.547,6.1,19.9,0.4,0.7,1.1,-2.4,-1.5,-3.9,-0.8
Chandler Hutchison,1,0.694,12.2,13.5,-0.1,0,0,-8,-0.5,-8.5,0
Bones Hyland,14.4,0.558,8,23.8,1.1,1.3,2.4,0.3,-0.7,-0.4,0.5
Serge Ibaka,14.4,0.579,15.1,17.8,0.8,1.1,2,-1.3,-0.2,-1.5,0.1
Andre Iguodala,12.3,0.478,9.1,11.4,0.5,1.1,1.6,-0.9,3.7,2.7,0.7
Joe Ingles,10,0.551,6.4,13.2,1.3,0.9,2.2,-0.7,0.5,-0.3,0.5
Brandon Ingram,18.7,0.554,9.5,29.3,2.5,1.3,3.9,2.6,-0.6,2,1.9
